Date,3mo_Tbill
02/10/2020,1.58
02/11/2020,1.57
02/12/2020,1.58
02/13/20,1.59
02/14/20,1.58
02/18/20,1.58
02/19/20,1.58
02/20/20,1.58
02/21/20,1.56
02/24/20,1.53
02/25/20,1.53
02/26/20,1.53
02/27/20,1.45
02/28/20,1.27
03/02/2020,1.13
03/03/2020,0.95
03/04/2020,0.72
03/05/2020,0.62
03/06/2020,0.45
03/09/2020,0.33
03/10/2020,0.44
03/11/2020,0.42
03/12/2020,0.33
03/13/20,0.28
03/16/20,0.24
03/17/20,0.19
03/18/20,0.02
03/19/20,0.04
03/20/20,0.05
03/23/20,0.02
03/24/20,0.01
03/25/20,0
03/26/20,0
03/27/20,0.03
03/30/20,0.12
03/31/20,0.11
04/01/2020,0.09
04/02/2020,0.09
04/03/2020,0.1
04/06/2020,0.15
04/07/2020,0.14
04/08/2020,0.22
04/09/2020,0.25
04/13/20,0.26
04/14/20,0.2
04/15/20,0.14
04/16/20,0.14
04/17/20,0.12
04/20/20,0.12
04/21/20,0.11
04/22/20,0.12
04/23/20,0.11
04/24/20,0.12
04/27/20,0.12
04/28/20,0.11
04/29/20,0.1
04/30/20,0.09
05/01/2020,0.12
05/04/2020,0.13
05/05/2020,0.13
05/06/2020,0.12
05/07/2020,0.11
05/08/2020,0.12
05/11/2020,0.12
05/12/2020,0.13
05/13/20,0.13
05/14/20,0.12
05/15/20,0.12
05/18/20,0.13
05/19/20,0.13
05/20/20,0.12
05/21/20,0.12
05/22/20,0.12
05/26/20,0.14
05/27/20,0.15
05/28/20,0.15
05/29/20,0.14
06/01/2020,0.14
06/02/2020,0.15
06/03/2020,0.16
06/04/2020,0.15
06/05/2020,0.15
06/08/2020,0.17
06/09/2020,0.19
06/10/2020,0.17
06/11/2020,0.17
06/12/2020,0.16
06/15/20,0.18
06/16/20,0.17
06/17/20,0.17
06/18/20,0.16
06/19/20,0.15
06/22/20,0.16
06/23/20,0.16
06/24/20,0.15
